ELEMENT_SUBNATIONAL_ID,ELCODE,SNAME,SCOMNAME,HPLIST,TRACK,added to project,iNaturalist name if different,notes/issues,References
366212,IILEPJ6028,Argynnis leto pugetensis,Puget Sound fritillary,3,Y,y,Argynnis cybele pugetensis,,
7179,ICBRA02020,Artemia franciscana,San Francisco brine shrimp,1,Y,y,,,
13099,IIHYM79090,Ashmeadiella sculleni,A leaf-cutter bee,2,Y,y,,,
7251,IICOL73180,Bembidion tigrinum,Cryptic beach carabid beetle,3,Y,y,,,
7501,IILEPJ7040,Boloria bellona,Meadow fritillary,2,Y,y,,,
7498,IILEPJ7180,Boloria myrina,Silver-bordered fritillary,2,Y,y,,,
13672,IIHYM24380,Bombus caliginosus,Obscure bumblebee,3,Y,y,,,
365420,IIHYM24110,Bombus fervidus,Yellow bumblebee,3,Y,y,,,
7336,IIHYM24010,Bombus franklini,Franklin's bumblebee,1,Y,y,,,
365421,IIHYM24460,Bombus morrisoni,Morrison Bumblebee,2,Y,y,,,
365424,IIHYM24252,Bombus occidentalis,Western bumblebee,2,Y,y,,,
365425,IIHYM24350,Bombus suckleyi,Suckley's cuckoo bumblebee,2,Y,y,,,
7312,IIHEM82010,Boreostolus americanus,American unique-headed bug,4,W,y,,,
12437,ICBRA03050,Branchinecta campestris,Pocket pouch fairy shrimp,1,Y,y,,,
7183,ICBRA03080,Branchinecta cornigera,Horned fairy shrimp,1,Y,y,,,
7180,ICBRA03030,Branchinecta lynchi,Vernal pool fairy shrimp,1,Y,y,,,
13093,IIHYMA5010,Calliopsis barri,A miner bee,2,Y,y,,,
7447,IILEPE2100,Callophrys johnsoni,Johnson's hairstreak,2,Y,y,,,
7458,IILEPE2213,Callophrys polios maritima,Seaside hoary elfin,1,Y,y,,,
10763,IIPLE03610,Capnia kersti,A stonefly,1,Y,y,,,
7688,IIPLE03290,Capnia oregona,Oregon snowfly,1,Y,y,,,
7692,IIPLE03530,Capnura anas,Duckhead snowfly,1,Y,y,,,
