ELCODE,G_RANK,ELEMENT_SUBNATIONAL_ID,SNAME,SCOMNAME,S_RANK,EO_TRACK_STATUS_DESC
IMGAS95410,G1,7905.0,Hochbergellus hirsutus,Sisters hesperian,S1,Track all extant and selected historical EOs
IILEPE2213,G5T1,7458.0,Callophrys polios maritima,Seaside hoary elfin,S1,Track all extant and selected historical EOs
IMGASV2010,G4G5,8044.0,Haliotis rufescens,Red abalone,S1,Track all extant and selected historical EOs
IMGASJ9010,G1,7972.0,Pomatiopsis binneyi,Robust walker,S1,Track all extant and selected historical EOs
IMGASG3210,G1,7949.0,Fluminicola sp. 9,Malheur pebblesnail,S1,Track all extant and selected historical EOs
IILEPN7030,G4,7550.0,Cercyonis sthenele,Great Basin wood nymph,S3?,Track all extant and selected historical EOs
IMGASG3080,G3G4,7938.0,Fluminicola modoci,Modoc pebblesnail,S1S2,Track all extant and selected historical EOs
IIHEMA0010,G2,7331.0,Sixeonotus sp. 1,A plant bug,S1?,Track all extant and selected historical EOs
IMGASJ0620,G1,7968.0,Pyrgulopsis fresti,Owyhee hot springsnail,S1,Track all extant and selected historical EOs
IMGASG3280,G1,7956.0,Fluminicola sp. 16,Toothed pebblesnail,S1,Track all extant and selected historical EOs
IITRI33020,GH,7816.0,Agapetus denningi,Denning's agapetus caddisfly,SH,Track all extant and selected historical EOs
IIHEM07020,G3,7303.0,Saldula villosa,Hairy shore bug,S1?,Track all extant and selected historical EOs
ILARA29020,G1G2,7873.0,Apochthonius malheuri,Malheur pseudoscorpion,S1,Track all extant and selected historical EOs
IMGASG3160,G1,7944.0,Fluminicola sp. 4,Fall Creek pebblesnail,S1,Track all extant and selected historical EOs
IIHEM92010,G3,7322.0,Macrotylus essigi,Essig's plant bug,S2,Track all extant and selected historical EOs
ILARA29090,G1G2,7874.0,Apochthonius forbesi,Forbes pseudoscorpion,SH,Track all extant and selected historical EOs
IILEP66030,G2,7364.0,Polites mardon,Mardon skipper,S2,Track all extant and selected historical EOs
IMGASF8040,G4,365576.0,Colligyrus greggi,Rocky Mountain duskysnail,S2,Track all extant and selected historical EOs
IMGASL6010,G2,8005.0,Fisherola nuttalli,Shortface lanx,S1S2,Track all extant and selected historical EOs
IIHEM99010,G2,7330.0,Pronotocrepis clavicornis,Thick-antennaed plant bug,S2,Track all extant and selected historical EOs
ICMAL05550,G1G2,7196.0,Stygobromus oregonensis,Oregon Cave amphipod,S1S2,Track all extant and selected historical EOs
IICLL18020,G2G3,7204.0,Oncopodura mala,Malheur Cave springtail,S1,Track all extant and selected historical EOs
IMBIV27020,G3G4,7885.0,Margaritifera falcata,Western pearlshell,S3,Track all extant and selected historical EOs
IMGASM6020,G1,8024.0,Helisoma newberryi,Great Basin ramshorn,S1,Track all extant and selected historical EOs
IMGASG3600,G2,7941.0,Fluminicola virens,Olympia pebblesnail,S2,Track all extant and selected historical EOs
IIHEM98010,G5,7329.0,Platylygus pseudotsugae,Douglas-fir plant bug,S3,Track all extant and selected historical EOs
