ELCODE,G_RANK,ELEMENT_SUBNATIONAL_ID,SNAME,SCOMNAME,S_RANK,EO_TRACK_STATUS_DESC
PPADI0H010,G4G5,9359.0,Pellaea andromedifolia,Coffee fern,S2,Track all extant and selected historical EOs
PMCYP03BJ0,G5,9152.0,Carex retrorsa,Retrorse sedge,S1,Track all extant and selected historical EOs
PDAIZ0E070,G5,8182.0,Sesuvium verrucosum,Verrucose sea-purslane,S2,Track all extant and selected historical EOs
PDFUM04080,G3G4,8655.0,Dicentra pauciflora,Few-flowered bleedingheart,S1,Track all extant and selected historical EOs
PMLIL0U080,G3,9265.0,Erythronium howellii,Howell's adder's-tongue,S3,Track all extant and selected historical EOs
PMLEM03030,G5,9208.0,Wolffia columbiana,Columbia water-meal,S1,Track all extant and selected historical EOs
PDROS1K0X0,G2,8928.0,Rubus bartonianus,Bartonberry,S2,Track all extant and selected historical EOs
PDLOA03090,G5?,11885.0,Mentzelia congesta,United blazingstar,S1,Track all extant and selected historical EOs
PDLOA03100,G2,8724.0,Mentzelia mollis,Smooth mentzelia,S2,Track all extant and selected historical EOs
PDBRA1M1R0,GNR,8454.0,Lepidium montanum,Mountain pepperweed,SNR,Track all extant and selected historical EOs
PPOPH01120,G3,9393.0,Botrychium lineare,Skinny moonwort,S1,Track all extant and selected historical EOs
PDFAB0F6Q0,G3,8579.0,Astragalus peckii,Peck's milk-vetch,S3,Track all extant and selected historical EOs
PPASP021K1,G5T5,418167.0,Asplenium trichomanes ssp. quadrivalens,Large spored spleenwort,SNR,Track all extant and selected historical EOs
PDFAB2B3Z0,G4?,8633.0,Lupinus tracyi,Tracy's lupine,S2,Track all extant and selected historical EOs
PDAST8H170,G2,8343.0,Senecio ertterae,Ertter's senecio,S2,Track all extant and selected historical EOs
PDCRA0A1D2,G5T4Q,8538.0,Sedum spathulifolium ssp. purdyi,Purdy's stonecrop,S3,Track all extant and selected historical EOs
PMLIL0D0R2,G4T2T3,9244.0,Calochortus longebarbatus var. peckii,Peck's mariposa-lily,S2S3,Track all extant and selected historical EOs
PDAST6E020,G4,8332.0,Microseris bigelovii,Coast microseris,S2,Track all extant and selected historical EOs
PMCYP03370,G5,9125.0,Carex crawfordii,Crawford's sedge,S1,Track all extant and selected historical EOs
PDGRO020F4,G5T4?,9649.0,Ribes divaricatum var. pubiflorum,Straggly gooseberry,S2,Track all extant and selected historical EOs
PDFAG050N3,G5T4,365300.0,Quercus garryana var. semota,Jepson's Oregon white oak,SNR,Track all extant and selected historical EOs
PMLIL0D0H0,G3,9239.0,Calochortus greenei,Greene's mariposa-lily,S2,Track all extant and selected historical EOs
PDSCR2S040,G4,9061.0,Sairocarpus kingii,King snapdragon,S2,Track all extant and selected historical EOs
PMLIL0D0Z0,G3G4,9249.0,Calochortus nudus,Shasta star-tulip,S2,Track all extant and selected historical EOs
PDAPI27080,G4,8232.0,Tauschia stricklandii,Strickland's tauschia,S1,Track all extant and selected historical EOs
PMCYP032Y0,G5,9123.0,Carex comosa,Bristly sedge,S1,Track all extant and selected historical EOs
PDHYD0C070,G2,8689.0,Phacelia argentea,Silvery phacelia,S2,Track all extant and selected historical EOs
PDAST0S0D5,G5T1,8250.0,Artemisia campestris var. wormskioldii,Northern wormwood,SX,Track all extant and selected historical EOs
PMPOA5S090,G5,13849.0,Spartina pectinata,Prairie cordgrass,S2,Track all extant and selected historical EOs
PMORC1Y150,G5,365347.0,Platanthera aquilonis,Northern green bog orchid,SNR,Track all extant and selected historical EOs
PPASP021F0,G5,9364.0,Asplenium septentrionale,Forked spleenwort,S1,Track all extant and selected historical EOs
PDBOR0V111,G4T3T4,365348.0,Plagiobothrys stipitatus var. micranthus,Stalked plagiobothrys,SNR,Track all extant and selected historical EOs
PDPLM01020,G4G5,365331.0,Allophyllum gilioides,Straggling gilia,S1,Track all extant and selected historical EOs
PDPLM02090,G4,365310.0,Collomia tenella,Diffuse collomia,SNR,Track all extant and selected historical EOs
PDBRA2H012,G5T5,365338.0,Subularia aquatica ssp. americana,American water-awlwort,SNR,Track all extant and selected historical EOs
PDCHE041L0,G4,8517.0,Atriplex powellii,Powell's saltbush,SNR,Track all extant and selected historical EOs
PDBRA2N0E2,G4T4,13034.0,Thelypodium sagittatum ssp. sagittatum,Slender thelypody,SNR,Track all extant and selected historical EOs
PDAPI0U0S0,G5,8190.0,Cymopterus nivalis,Snowline cymopterus,S2,Track all extant and selected historical EOs
PDAST3M0U0,G4,8288.0,Erigeron cervinus,Siskiyou daisy,S2,Track all extant and selected historical EOs
PDAST3M410,G4,12816.0,Erigeron tener,Tender fleabane,S2?,Track all extant and selected historical EOs
PMCYP03960,G4,9146.0,Carex nervina,Sierra nerved sedge,S1,Track all extant and selected historical EOs
PDLAM180T0,G3Q,8707.0,Monardella purpurea,Siskiyou monardella,S3,Track all extant and selected historical EOs
PMPOA3X0H0,G4,9328.0,Melica stricta,Nodding melicgrass,S3,Track all extant and selected historical EOs
PDFAB3N050,G2,8636.0,Sophora leachiana,Western necklace,S2,Track all extant and selected historical EOs
PDBOR0V0M0,G1,8409.0,Plagiobothrys lamprocarpus,Shiny-fruited popcorn flower,S1,Track all extant and selected historical EOs
PDAST4N100,G5,12835.0,Helianthus nuttallii,Nuttall's sunflower,SNR,Track all extant and selected historical EOs
PDAST110H0,GNR,365931.0,Balsamorhiza macrophylla,Large-leaf balsamroot,SNR,Track all extant and selected historical EOs
PDRAN0P021,G5?,8892.0,Trollius albiflorus,American globeflower,S1,Track all extant and selected historical EOs
PDAST8S020,G3G4,365340.0,Sphaeromeria cana,Gray tansy,SNR,Track all extant and selected historical EOs
PMCYP032G0,G5,9121.0,Carex capillaris,Capillary sedge,S2,Track all extant and selected historical EOs
PDGEN060V0,G2,8662.0,Gentiana plurisetosa,Bristly gentian,S1,Track all extant and selected historical EOs
PDAST8U080,GHC,8348.0,Stephanomeria malheurensis,Malheur wire-lettuce,SH,Track all extant and selected historical EOs
PMPOA530R0,G4?,13852.0,Puccinellia nutkaensis,Pacific alkaligrass,S2?,Track all extant and selected historical EOs
PDLAM1K050,G5,418173.0,Pogogyne serpylloides,Thymeleaf mesamint,S1,Track all extant and selected historical EOs
PDPLM04130,G2,8813.0,Gilia millefoliata,Seaside gilia,S1,Track all extant and selected historical EOs
PDCPR05050,G5,8523.0,Symphoricarpos longiflorus,Long-flowered snowberry,S2,Track all extant and selected historical EOs
PMCYP03AB0,G4,9607.0,Carex pelocarpa,Dusky-seed sedge,S1,Track all extant and selected historical EOs
PDHYD0C1C0,G4,365304.0,Phacelia egena,Kaweah River scorpionweed,SNR,Track all extant and selected historical EOs
PDPAP0A010,G5,8774.0,Eschscholzia caespitosa,Gold poppy,S1,Track all extant and selected historical EOs
PMLEM03060,G5,9209.0,Wolffia borealis,Dotted water-meal,S1,Track all extant and selected historical EOs
PMORC0Q060,G4,9309.0,Cypripedium fasciculatum,Clustered lady's-slipper,S2,Track all extant and selected historical EOs
PDASTDT0F3,G5?T3,9698.0,Pyrrocoma racemosa var. racemosa,Racemose pyrrocoma,S1,Track all extant and selected historical EOs
PDBRA2N051,G1T1,8473.0,Thelypodium howellii ssp. howellii,Howell's thelypody,S1,Track all extant and selected historical EOs
PDSCR0D2T0,G1,8997.0,Castilleja rubida,Purple alpine paintbrush,S1,Track all extant and selected historical EOs
PPOPH010T0,G3G4,9390.0,Botrychium pedunculosum,Stalked moonwort,S1,Track all extant and selected historical EOs
PDPGN081X2,G5T2T4,365315.0,Eriogonum elatum var. villosum,Tall wooly buckwheat,SNR,Track all extant and selected historical EOs
PDCAR0E010,G5,365355.0,Loeflingia squarrosa,Spreading-leaved loeflingia,SNR,Track all extant and selected historical EOs
PDFAB0F2C1,G4T3,8564.0,Astragalus conjunctus var. rickardii,Rickard's milk-vetch,SNR,Track all extant and selected historical EOs
PMPOA4Z250,G2G3,9589.0,Poa rhizomata,Timber bluegrass,S1?,Track all extant and selected historical EOs
PDSAL02340,G5?,8955.0,Salix wolfii,Wolf's willow,S2,Track all extant and selected historical EOs
PDPGN084W0,G3,8792.0,Eriogonum prociduum,Prostrate buckwheat,S1?,Track all extant and selected historical EOs
PMJUN01060,G5,9193.0,Juncus triglumis var. albescens,Three-flowered rush,S1,Track all extant and selected historical EOs
PMLIL0E020,G2,9257.0,Camassia howellii,Howell's camassia,S2,Track all extant and selected historical EOs
PDROS0W051,G4T4,365320.0,Horkelia daucifolia ssp. daucifolia,Carrotleaf horkelia,SNR,Track all extant and selected historical EOs
