name,label,sname,author,scomname,s_rank,eo_track_status_desc,explorer,egt_uid,family,ELCODE_BCD,NAME_CATEGORY_DESC,growth_habit,element_type,duration
13828,Racomitrium brevipes : Moss,Racomitrium brevipes,Kindb. in Mac,Moss,SNR,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.125640,ELEMENT_GLOBAL.2.125640,Grimmiaceae,NBMUS6B100,Nonvascular Plant,,Plant,
10474,Racomitrium depressum : Moss,Racomitrium depressum,Lesq.,Moss,S1,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.121436,ELEMENT_GLOBAL.2.121436,Grimmiaceae,NBMUS6B050,Nonvascular Plant,MOSS,Plant,
419967,Racomitrium lanuginosum : Moss,Racomitrium lanuginosum,(Hedw.) Brid.,Moss,SNR,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.124970,ELEMENT_GLOBAL.2.124970,Grimmiaceae,NBMUS6B080,Nonvascular Plant,,Plant,
419948,Racomitrium lawtonae : Lawton's rock moss,Racomitrium lawtonae,Irel.,Lawton's rock moss,SNR,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.125641,ELEMENT_GLOBAL.2.125641,Grimmiaceae,NBMUS6B090,Nonvascular Plant,,Plant,
419949,Racomitrium macounii ssp. alpinum : Moss,Racomitrium macounii ssp. alpinum,(Lawt.) Frisvoll,Moss,SNR,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.953002,ELEMENT_GLOBAL.2.953002,Grimmiaceae,NBMUS6B0C2,Nonvascular Plant,,Plant,
13729,Racomitrium molle : Moss,Racomitrium molle,Cardot,Moss,S2?,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.858003,ELEMENT_GLOBAL.2.858003,Grimmiaceae,NBMUSA7010,Nonvascular Plant,,Plant,
365376,Racomitrium pygmaeum : Pygmy racomitrium moss,Racomitrium pygmaeum,Frisv.,Pygmy racomitrium moss,S1,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.124700,ELEMENT_GLOBAL.2.124700,Grimmiaceae,NBMUS6B0H0,Nonvascular Plant,,Plant,
10464,Racomitrium ryszardii : Moss,Racomitrium ryszardii,Bednarek-Ochyra,Moss,S2,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.730974,ELEMENT_GLOBAL.2.730974,Grimmiaceae,NBMUS6B170,Nonvascular Plant,,Plant,
8084,Radula brunnea : Liverwort,Radula brunnea,Stephani,Liverwort,S1,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.124953,ELEMENT_GLOBAL.2.124953,Radulaceae,NBHEP2V0D0,Nonvascular Plant,,Plant,
12462,Radula obtusiloba ssp. polyclada : Liverwort,Radula obtusiloba ssp. polyclada,(Evans) Hatt.,Liverwort,S1,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.126779,ELEMENT_GLOBAL.2.126779,Radulaceae,NBHEP2V081,Nonvascular Plant,,Plant,
13829,Ramalina intermedia : Intermediate cartilage lichen,Ramalina intermedia,(Del. ex Nyl.) Nyl.,Intermediate cartilage lichen,S1,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.127198,ELEMENT_GLOBAL.2.127198,Ramalinaceae,NLLEC3S150,Fungus,FUNGUS|LICHEN,Plant,
10562,Ramalina labiosorediata : Powdery twig lichen,Ramalina labiosorediata,"Gasparyan, Sipman &amp; Lücking",Powdery twig lichen,S1S2,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.1044310,ELEMENT_GLOBAL.2.1044310,Ramalinaceae,NLLEC3S030,Fungus,FUNGUS|LICHEN,Plant,
10268,Ramaria amyloidea : Fungus,Ramaria amyloidea,Marr & Stuntz,Fungus,S3,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.637286,ELEMENT_GLOBAL.2.637286,Ramariaceae,NFFUN4V010,Fungus,FUNGUS|MACROFUNGUS,Plant,EPHEMERAL FRUITING BODY
10278,Ramaria aurantiiramosa : Fungus,Ramaria aurantiiramosa,(Marr & D.E. Stuntz) Franchi & M. Marchetti,Fungus,S2,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.57.10276,ELEMENT_GLOBAL.57.10276,Ramariaceae,NFSM000140,Fungus,FUNGUS|MACROFUNGUS,Plant,EPHEMERAL FRUITING BODY
10281,Ramaria coulterae : Fungus,Ramaria coulterae,Scates,Fungus,S2S3,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.57.10279,ELEMENT_GLOBAL.57.10279,Ramariaceae,NFSM000146,Fungus,FUNGUS|MACROFUNGUS,Plant,EPHEMERAL FRUITING BODY
