SNAME,SCOMNAME,AUTHOR_NAME_FULL,HP_LIST,added to project,iNaturalist name if different,Biotics updated,notes/issues,References
Conioselinum scopulorum,Rocky Mountain hemlock parsley,(Gray) Coult. & Rose,3,y,,,,
Coptis trifolia,Three-leaf goldthread,(L.) Salisb.,2,y,,,,
Corallorhiza wisteriana,Spring coral-root,Conrad,2-ex,y,,,,
Corydalis aquae-gelidae,Cold-water corydalis,M.E. Peck & Wilson,1,y,Cordyalis caseana aquae-gelidae,n,Apparently a synonym,Corydalis caseana ssp. aquae-gelidae (Coldwater fumewort) | Native Plants of North America
Crassula connata,Sand pygmyweed,(Ruiz & Pavon) Berger,3,y,,,,
Crassula solieri,Solieri's pygmyweed,(C. Gay) Meigen,2,y,,,,
Cressa truxillensis,Spreading alkali weed,Kunth,3,y,,,,
Cryptantha echinella,Prickly cryptantha,Greene,3,y,,,,
Cryptantha gracilis,Narrow-stem cat's-eye,Osterhout,2,y,,,,
Cryptantha grandiflora,Clearwater cryptantha,Rydb.,1,y,,,,
Oreocarya humilis,Low cryptantha,(Gray) Payson,3,y,,,,
Cryptantha leiocarpa,Seaside cryptantha,(Fisch. & C.A. Mey.) Greene,2,y,,,,
Cryptantha milo-bakeri,Milo Baker's cryptantha,I.M. Johnston,2,y,Cryptantha milobakeri,y,"ORBIC name changed, matches ORFlora",
Cryptantha rostellata,Beaked cryptantha,(Greene) Greene,3,y,,,,
Cryptantha simulans,Pine woods cryptantha,Greene,2,y,,,,
Cryptogramma stelleri,Steller's rock-brake,(Gmel.) Prantl,2,y,,,,
Cuscuta cephalanthi,Buttonbush dodder,Engelm.,3,y,,,,
Cymopterus glomeratus var. glomeratus,Greeley's cymopterus,(Nutt.) DC.,3,y,,"n, needs review","ORBIC left as-is for now, taxonomically confusing, see ORBIC list notes. There is another species worth investigating, Cymopterus glomeratus greeleyorum, that is in Oregon whereas C. glomeratus glomeratus is only observed in Utah, Wyoming and Colorado",
Cymopterus longipes var. ibapensis,Ibapah wavewing,S. Wats.,2,y,,,,
Cymopterus nivalis,Snowline cymopterus,S. Wats.,2,y,,,,
Cymopterus purpurascens,Purple cymopterus,(Gray) M.E. Jones,2,y,Vesper purpurascens,n,"leave ORBIC name as-is, matches ORFlora. POWO claims homotypic synonym",Vesper purpurascens (A.Gray) R.L.Hartm. & G.L.Nesom | Plants of the World Online | Kew Science
Cyperus acuminatus,Short-pointed cyperus,Torr. & Hook. ex Torr.,2,y,,,,
Cyperus lupulinus ssp. lupulinus,Great Plains flatsedge,(Spreng.) Marcks,2,y,,,,
